Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
10	3.6873162	1.6887143	7.051314	-0.727075	215.08333	123.44429	413.0	16.0	1000.0	48969.0	0.1483909090909091	0.38768765	0.26724198	1.5245789	-0.18460277	18.19735	10.460247	64.31288	-6.900607	2.3283064e-09	-0.013305398	-5.9604645e-08	-0.0065854974	0.057768524	-0.010228381	434.27533	-127.574615	0	0	1.5096266	0.0	1.8098974	0.009225559	330000	746.5567936897278
11	5.1050105	2.1629305	9.500827	-0.21224867	174.375	122.38151	447.0	0.0	1000.0	54226.0	0.15062777777777778	0.42289573	0.28406855	1.5232142	-0.15964273	20.96482	11.466653	69.86666	-11.465201	-1.1175871e-08	-0.011775344	-7.4505806e-08	0.005902199	0.12412816	-0.040934958	390.2249	-146.27493	0	0	1.3623191	1.0	1.7883015	0.0063106534	360000	813.9059724807739
12	6.899298	2.5732708	12.480564	1.5955492	119.625	86.828766	317.0	0.0	1000.0	57657.0	0.14783846153846153	0.58956534	0.36924756	1.9182073	-0.12563089	17.451202	9.291131	59.101986	-14.82514	-5.5879354e-09	-0.014221646	-3.7252903e-08	-0.002794005	0.100667015	-0.024643226	287.12476	-116.906586	0	0	1.4442418	0.0	1.7757314	0.009594457	390000	881.2693190574646
13	6.294937	2.5657992	10.637368	-0.6960942	198.54167	106.10843	405.0	25.0	1000.0	63540.0	0.15128571428571427	0.6204375	0.38743207	2.0283701	-0.16604434	12.7149315	8.865351	60.528553	-8.460076	5.5879354e-09	-0.015302039	5.9604645e-08	0.0014140317	0.091588415	-0.021080758	451.71704	-217.72931	0	0	1.3672239	0.0	1.7534282	0.009675837	420000	948.7581167221069
14	7.047026	2.3819602	11.733114	3.5803952	179.33333	134.15094	522.0	0.0	1000.0	68874.0	0.15305333333333335	0.70823866	0.437297	2.2657266	-0.16389811	21.778996	12.563795	73.11798	-10.434534	3.7252903e-09	-0.013387668	7.4505806e-08	0.001687861	0.11745779	-0.03687246	320.55554	-150.21945	0	0	1.5384753	0.0	1.7385602	0.009705109	450000	1016.3090739250183
15	8.377236	3.1319995	16.134624	2.299131	222.0	125.414314	515.0	0.0	1000.0	75590.0	0.15747916666666667	0.80085367	0.42495465	2.1566882	-0.094896756	19.754929	13.923056	74.96793	-20.79361	9.313226e-10	-0.012588983	-2.9802322e-08	-0.022193693	0.1114492	-0.034383837	334.16364	-129.59541	0	0	1.5748682	0.0	1.7231085	0.009355366	480000	1084.4054579734802
16	9.599312	3.4530919	18.348145	0.8998512	169.125	99.84418	453.0	17.0	1000.0	80832.0	0.1584941176470588	0.8792874	0.42216754	2.2140625	0.027155234	21.217598	11.453086	67.301926	-17.440575	5.122274e-09	-0.0141498055	-2.2351742e-08	0.00594546	0.13468981	-0.04149746	307.33804	-129.36926	0	0	1.4200748	0.0	1.7069803	0.009546521	510000	1152.0989925861359
17	11.218944	2.291756	14.593521	5.148611	155.91667	93.390274	393.0	0.0	1000.0	85974.0	0.1592111111111111	1.071578	0.4433991	2.5253007	0.019852377	17.144617	11.065628	67.14662	-5.3510904	-1.6298145e-08	-0.013237441	1.6391277e-07	-0.003168187	0.13053319	-0.044129524	241.09634	-102.15584	0	0	1.4910785	0.0	1.6804996	0.009673164	540000	1219.6668574810028
18	11.624162	1.6870338	14.50721	7.5877957	175.79167	113.90273	367.0	6.0	1000.0	91188.0	0.15997894736842105	1.1700572	0.410027	2.267003	0.051314443	18.271265	11.2322035	69.115616	-5.9166503	-1.8626451e-09	-0.012968665	0.0	0.0004982762	0.11322662	-0.03202102	255.5542	-103.321106	0	0	1.5214082	0.0	1.6695964	0.009269445	570000	1286.9694542884827
19	11.47936	3.177422	16.266487	4.272575	196.66667	116.54386	433.0	0.0	1000.0	97360.0	0.16226666666666667	1.176492	0.43258846	2.4058337	0.07036128	19.558393	12.217153	69.49924	-11.829926	9.313226e-10	-0.013095235	-1.4901161e-08	0.0068953913	0.134837	-0.040776834	300.4939	-119.637886	0	0	1.5339404	0.0	1.6408179	0.009489399	600000	1354.69530916214
20	11.736194	3.1555345	17.075663	4.8242702	176.125	113.50783	529.0	10.0	1000.0	102574.0	0.16281587301587302	1.1927394	0.4737403	2.2884545	-0.008885905	21.014324	12.442827	79.39334	-5.601633	1.0477379e-08	-0.013759372	7.4505806e-08	-0.0036630873	0.14586098	-0.04489764	246.97672	-119.076355	0	0	1.4794117	0.0	1.604024	0.009602104	630000	1423.3355739116669
21	12.127888	2.5017595	18.313988	7.313728	194.125	116.73414	548.0	33.0	1000.0	108449.0	0.16431666666666667	1.20182	0.49550518	2.384722	-0.09709397	18.679846	11.978593	71.44361	-4.7295237	8.8475645e-09	-0.012052896	-4.4703484e-08	0.00038177148	0.12063575	-0.043856546	277.604	-127.325424	0	0	1.6329956	0.0	1.5698957	0.009536846	660000	1491.1465466022491
22	13.21003	2.8071687	17.603258	5.02089	155.33333	105.70937	402.0	18.0	1000.0	113230.0	0.16410144927536233	1.2510872	0.4540395	2.40189	-0.019415865	19.77993	12.435446	77.6375	-10.748635	1.1175871e-08	-0.013347578	-1.1175871e-07	0.0016480992	0.1299591	-0.04394239	251.4274	-124.613754	0	0	1.4664488	0.0	1.5426626	0.009272858	690000	1558.9286081790924
23	13.279763	2.6446424	18.731014	6.998318	176.45833	103.25372	401.0	16.0	1000.0	118685.0	0.16484027777777777	1.3409816	0.46653634	2.5546472	0.07220599	17.876108	12.73665	72.85321	-10.149321	-1.8626451e-09	-0.012793974	1.1175871e-07	0.007576278	0.13355629	-0.047263846	248.36215	-111.54489	0	0	1.5182099	0.0	1.5294228	0.009357944	720000	1626.6603055000305
24	13.338136	2.6227996	18.517223	7.0301247	139.08333	77.51554	304.0	13.0	1000.0	123380.0	0.16450666666666666	1.357753	0.4725675	2.3785868	0.1591239	17.870499	11.301451	68.54696	-5.1205764	-1.3038516e-08	-0.013065637	0.0	0.012390233	0.13764334	-0.05183249	219.5323	-97.20639	0	0	1.5188276	0.0	1.5108271	0.009298382	750000	1694.747854232788
25	12.763301	3.8635187	18.266132	2.9170094	206.375	111.91805	469.0	61.0	1000.0	129488.0	0.1660102564102564	1.3443828	0.5598754	2.532857	-0.1920216	18.448284	11.496286	76.41795	-5.1785393	6.519258e-09	-0.012568762	0.0	-0.020951105	0.1600874	-0.05376744	297.2818	-139.66037	0	0	1.5902712	0.0	1.4978104	0.009440607	780000	1763.0827627182007
26	12.704212	4.633798	20.721638	1.7434305	194.20833	106.24225	416.0	37.0	1000.0	135372.0	0.16712592592592593	1.3321496	0.5541868	2.5842707	-0.12211229	20.313229	11.744769	72.899734	-4.7764173	-3.7252903e-09	-0.013010704	-8.940697e-08	-0.0071335062	0.16453159	-0.06772141	272.89813	-129.58531	0	0	1.5382359	0.0	1.4880885	0.009569146	810000	1830.7266931533813
