Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	0.3162463	1.4915922	3.3954608	-1.9210316	85.333336	65.43614	227.0	0.0	1000.0	2560.0	0.08533333333333333	0.6063267	0.54003096	2.0238318	-1.1512539	-0.44104668	0.12014828	0.071127266	-0.807485	-2.0853678e-08	0.05085194	-9.358724e-08	0.002502893	0.7695204	-0.6794186	144.34192	-100.07785	0	0	1.0	1.837877	0.05537872	30000	123.19276976585388
1	1.1709878	2.5528486	7.8758154	-2.1903052	74.63333	65.40972	235.0	0.0	1000.0	4799.0	0.07998333333333334	0.11728664	0.35438657	1.1126888	-1.0314763	6.700309	5.571348	18.020277	-5.5556483	0.0	0.049175475	-6.510417e-08	0.0148101235	0.13857658	-0.02970697	45.08563	-7.2071457	0	0	1.0	1.8374736	0.08286315	60000	244.74448800086975
2	0.86466527	1.5595179	6.0583916	-1.2235926	103.433334	73.703766	294.0	0.0	1000.0	7902.0	0.0878	0.12628874	0.40689483	1.448383	-0.9281429	8.91753	5.3745103	22.609554	-2.678479	9.155274e-09	0.0029480194	-8.138021e-08	-0.0031424316	0.06438846	-0.018914409	60.85902	-11.733189	0	0	1.0	1.8379543	0.009463892	90000	366.2986373901367
3	1.2777162	1.6119757	5.0194197	-1.0730497	106.933334	77.58261	257.0	0.0	1000.0	11110.0	0.09258333333333334	0.13131063	0.37308463	1.2730954	-0.75205547	12.367236	7.05534	28.671078	-4.1778727	1.525879e-08	-0.007397597	3.2552084e-08	0.005968197	0.06567168	-0.006794259	58.456	-11.1562805	0	0	79.0	1.8384335	0.005963405	120000	511.8329293727875
4	2.7195053	2.210374	7.448811	-1.0204337	113.333336	61.44013	220.0	0.0	1000.0	14510.0	0.09673333333333334	0.1534768	0.3851291	1.1511633	-0.7081533	11.76234	7.3893285	32.320724	-4.374117	1.6276042e-08	-0.009372548	-6.510417e-08	0.0034644206	0.1279654	-0.029270537	57.321083	-7.456291	0	0	79.0	1.8313732	0.0059778863	150000	656.8830533027649
5	4.330601	3.1786637	11.957417	-0.71761316	99.666664	72.26125	254.0	0.0	1000.0	17500.0	0.09722222222222222	0.2997597	0.44175568	1.5739218	-0.5864109	11.760885	6.6141696	34.075085	-3.2815905	-9.155274e-09	0.0129246125	3.2552084e-08	0.0030368245	0.14200523	-0.038333	58.91375	-9.647247	0	0	2.0	1.8033017	0.021862892	180000	778.2614374160767
6	2.7811007	3.0131216	12.592573	-0.6495088	93.86667	68.18002	276.0	0.0	1000.0	20316.0	0.09674285714285714	0.36712292	0.45396274	2.0117948	-0.51014614	9.459573	6.410141	35.50653	-1.9890442	-1.4241537e-08	0.018674033	-4.4759116e-08	0.0021853596	0.09283431	-0.009115167	57.62554	-8.874664	0	0	1.0	1.803021	0.037592605	210000	903.1794235706329
7	3.8883538	3.491783	11.407105	-1.2004925	102.066666	74.70562	284.0	0.0	1000.0	23378.0	0.09740833333333333	0.40380093	0.5035528	1.9781009	-0.5713992	10.376916	7.7452106	38.96571	-3.0055344	0.0	0.00038153483	1.6276042e-08	-0.0035378581	0.13526663	-0.017836988	56.676273	-9.093605	0	0	1.0	1.8028091	0.0049091866	240000	1028.1181862354279
8	5.048266	3.4577508	11.199114	-0.37111953	91.53333	56.919086	226.0	0.0	1000.0	26124.0	0.09675555555555555	0.6080676	0.56498605	1.9408569	-0.55965465	10.271485	7.32882	40.413727	0.1983218	-1.2207031e-08	-0.0008457479	4.0690104e-08	0.001250004	0.33048043	-0.11548993	52.92332	-13.017189	0	0	1.0	1.8026528	0.0006192062	270000	1153.0637526512146
