Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
15	6.1217904	1.956433	10.099799	2.6549172	133.41667	93.78784	377.0	0.0	1000.0	70899.0	0.14770625	0.5749027	0.3350372	1.9003834	-0.12039448	16.516079	9.307787	61.827396	-2.1212068	3.259629e-09	-0.017602082	0.0	-0.00095020514	0.073275805	-0.021230664	264.45865	-96.73911	0	0	79.0	1.5778747	0.009390261	480000	1265.7526037693024
16	7.871706	2.214348	12.796641	4.6833534	177.04167	102.01775	382.0	19.0	1000.0	76450.0	0.14990196078431373	0.6876681	0.35951382	1.9663987	-0.087137684	15.84814	10.713302	65.6107	-5.204874	3.7252903e-09	-0.003135492	5.9604645e-08	0.0015401933	0.102228224	-0.03274191	337.7786	-146.47058	0	0	4.0	1.536564	0.0021100054	510000	1336.2881422042847
17	7.833998	2.1679475	11.759816	2.3594987	154.91667	84.49059	311.0	9.0	1000.0	81586.0	0.15108518518518518	0.8123749	0.37516078	2.0778885	0.010974137	19.515314	12.765081	72.17979	-5.717936	8.381903e-09	-0.019410774	0.0	-0.0033061244	0.07241871	-0.024011977	259.54584	-117.52754	0	0	79.0	1.5338769	0.008348234	540000	1420.3460958003998
18	9.385234	2.1549692	13.977346	5.5971074	218.0	113.903465	528.0	75.0	1000.0	87831.0	0.15408947368421053	0.8619892	0.38088802	1.9514724	0.05301711	16.856657	12.2838	71.39821	-4.8958983	-1.1175871e-08	-0.0058116615	3.7252903e-08	-0.012367355	0.1067211	-0.034702796	340.52698	-150.8258	0	0	11.0	1.4913442	0.0073839966	570000	1492.512588262558
19	8.811091	2.4082289	12.348755	2.3547828	169.29167	84.620964	296.0	0.0	1000.0	93019.0	0.15503166666666668	0.8967367	0.4144195	2.036086	0.04964646	21.693262	12.375752	77.3663	-5.624899	-3.7252903e-09	0.011795097	-9.685755e-08	0.001516331	0.1066903	-0.034421343	300.37793	-131.91069	0	0	3.0	1.4818525	0.0195002	600000	1564.604647397995
20	7.9996552	2.2839496	13.268289	3.9636223	185.08333	114.70322	469.0	24.0	1000.0	98136.0	0.15577142857142856	0.90951496	0.42788467	2.1377451	-0.039571196	18.728544	11.939196	74.00357	-6.404628	-1.1175871e-08	0.013971321	7.450581e-09	-0.0019308738	0.09570741	-0.037612654	290.3869	-118.11642	0	0	1.0	1.4776909	0.035437405	630000	1635.1389377117157
21	9.7971945	2.0600822	14.201625	5.2013507	197.54167	126.59646	473.0	29.0	1000.0	104062.0	0.15766969696969696	0.8789943	0.40908033	2.052978	-0.050417203	19.789803	13.393451	73.46222	-7.2957163	1.4901161e-08	-0.0012932322	-5.9604645e-08	-0.002039086	0.12848245	-0.061941758	278.4154	-129.7066	0	0	1.0	1.4757063	0.0061035096	660000	1705.4500622749329
22	10.781711	2.0696774	14.362863	5.7189775	232.66667	108.05425	490.0	31.0	1000.0	111073.0	0.16097536231884058	1.0526657	0.4257795	2.2249887	0.059398465	20.904236	13.864954	74.29703	-8.549714	1.1175871e-08	0.0032537528	1.4901161e-07	0.012930989	0.115603656	-0.037908576	310.15607	-162.19843	0	0	1.0	1.4740915	0.012159358	690000	1775.5894260406494
23	10.773019	2.9444766	17.711939	5.2490034	240.75	105.93837	409.0	49.0	1000.0	118353.0	0.16437916666666666	1.1061877	0.41983858	2.1960645	-0.1988943	23.80233	14.247179	80.79249	-3.3243952	4.656613e-09	-0.0010297282	1.7881393e-07	0.0015732411	0.12430965	-0.040291853	332.31387	-175.90073	0	0	1.0	1.4728549	0.002683028	720000	1846.433573961258
24	11.745262	2.029531	14.983671	7.678197	198.08333	93.62866	449.0	26.0	1000.0	124156.0	0.16554133333333335	1.1908565	0.45997	2.5150335	-0.0008307267	22.473658	13.468457	83.70473	-4.6622458	-7.450581e-09	-0.0017337527	-1.4901161e-08	0.0032184124	0.110422865	-0.04179702	247.28696	-122.13283	0	0	1.0	1.4719516	0.0024258804	750000	1917.4140253067017
25	12.226608	2.3880992	17.035816	7.3612866	245.25	89.80082	472.0	66.0	1000.0	131059.0	0.16802435897435897	1.228139	0.3954306	2.1614206	0.17664026	21.155884	12.310808	79.06333	-1.7514344	1.0244548e-08	-0.0024571223	-1.0430813e-07	0.004051864	0.123477384	-0.037668735	244.8068	-124.58235	0	0	1.0	1.4713104	0.0032987823	780000	1987.6257436275482
26	12.2549715	3.1134887	17.133781	5.188749	232.70833	106.35729	511.0	40.0	1000.0	138087.0	0.17047777777777778	1.2871081	0.445574	2.3176265	-0.009395962	23.450052	13.049427	79.64652	-3.3374703	2.9802322e-08	-0.0017481116	-1.4901161e-08	-0.0027485471	0.121350124	-0.043420866	234.46379	-121.55217	0	0	1.0	1.4706473	0.002268713	810000	2057.906352519989
27	13.05048	2.3298693	17.979446	8.215934	196.70833	79.84124	383.0	64.0	1000.0	143696.0	0.17106666666666667	1.3190646	0.4620221	2.4830153	-0.10956331	23.290907	13.707235	79.535576	-2.2350965	-5.5879354e-09	-0.00085010985	-5.9604645e-08	-0.008404529	0.119323336	-0.04547595	231.79408	-122.068756	0	0	1.0	1.470079	0.0055959495	840000	2128.446686267853
28	13.1987295	2.1629653	17.023726	8.994717	214.25	87.5601	432.0	57.0	1000.0	150059.0	0.17248160919540229	1.356756	0.45294252	2.5391836	0.09568446	21.592308	12.282502	78.72451	-3.6249442	-7.450581e-09	-0.0022441857	4.4703484e-08	0.0034742667	0.10274039	-0.040543035	274.6168	-135.29549	0	0	1.0	1.4694126	0.0021077318	870000	2201.144629716873
29	13.962571	1.9925349	16.998205	9.976754	200.70833	115.233986	461.0	12.0	1000.0	155949.0	0.17327666666666666	1.4191924	0.41870382	2.5311852	-0.048706092	21.013279	13.327192	78.2165	-7.488781	0.0	-0.0020299058	2.2351742e-08	-0.0003007492	0.11195725	-0.037711427	257.1828	-135.82277	0	0	1.0	1.4686728	0.0011606833	900000	2271.477688550949
30	13.604618	2.5094528	18.02403	8.67314	210.25	103.86419	408.0	0.0	1000.0	162320.0	0.17453763440860215	1.4308904	0.45282674	2.6401618	0.16910315	21.56277	14.175743	83.55554	-2.9668744	0.0	-0.0006091682	-1.7881393e-07	0.0025094151	0.108099304	-0.039497055	254.53943	-142.38724	0	0	1.0	1.4678603	0.004428494	930000	2342.6491894721985
31	13.31194	2.551872	17.315031	9.100021	216.625	106.426346	483.0	10.0	1000.0	168715.0	0.17574479166666668	1.4103097	0.45089015	2.4228797	0.22217917	22.565344	14.705869	90.06878	-1.4988809	7.450581e-09	-0.0018084645	2.9802322e-08	0.0010613581	0.11280199	-0.03961681	237.79161	-116.442635	0	0	1.0	1.4670172	0.0017960012	960000	2413.221811771393
32	12.846477	2.9477415	17.069952	5.7006497	186.95833	85.73869	331.0	26.0	1000.0	174504.0	0.17626666666666665	1.3740135	0.47289813	2.4421651	-0.0059777973	22.209566	13.223383	86.870995	-2.5972087	1.6763806e-08	-0.0014747502	-3.7252903e-08	-0.005992134	0.13577822	-0.05563517	203.47437	-106.998886	0	0	1.0	1.4662029	0.003405212	990000	2484.153046131134
33	13.662483	2.6958656	17.769033	6.3264647	214.25	103.83571	398.0	38.0	1000.0	181125.0	0.1775735294117647	1.3875326	0.4803633	2.5146806	-0.274605	21.900928	14.536545	89.07248	-5.35844	1.5832484e-08	-0.0013961466	2.2351742e-08	0.0030749943	0.12251271	-0.047969855	210.69534	-108.90851	0	0	1.0	1.4653511	0.003143957	1020000	2556.5031774044037
34	14.062748	1.8733526	16.656324	9.332647	191.75	103.854965	461.0	41.0	1000.0	186757.0	0.17786380952380954	1.4282049	0.47465664	2.5918438	0.061130278	20.74738	12.994808	75.95274	-3.5998983	0.0	-0.0014248336	-1.4901161e-08	-0.00017126836	0.11222791	-0.04787357	189.60114	-95.329025	0	0	1.0	1.4645091	0.0009955054	1050000	2626.661102294922
35	13.896598	3.0773368	20.016125	5.9936266	187.5	77.44622	351.0	65.0	1000.0	192271.0	0.17802870370370372	1.4610239	0.46426767	2.648352	0.0072987387	20.690619	13.408904	80.473145	-4.2595553	9.313226e-10	-0.0011031032	5.9604645e-08	-0.0028808082	0.11800277	-0.044149615	188.40648	-90.80084	0	0	1.0	1.463742	0.0006712817	1080000	2696.92750787735
36	14.404029	2.9745493	21.650284	8.895674	188.375	84.523575	423.0	35.0	1000.0	198045.0	0.17841891891891892	1.4544529	0.49609652	2.5874588	-0.20061824	19.554747	12.967695	72.15939	-4.3061843	3.7252903e-09	-0.0017411335	7.4505806e-08	0.008321481	0.12674733	-0.054344594	217.44786	-129.40195	0	0	1.0	1.4630331	0.0023993547	1110000	2767.8177785873413
37	13.860745	3.0365453	19.09235	5.2689543	223.54167	127.879814	555.0	32.0	1000.0	204205.0	0.17912719298245613	1.4834622	0.4840056	2.6554585	0.04920324	21.102146	13.783871	82.77736	-3.6409278	-1.3969839e-08	-0.0012645165	0.0	-0.0012789927	0.13496253	-0.06485035	228.92685	-123.289375	0	0	1.0	1.4622581	0.0015511154	1140000	2839.970184803009
38	14.048474	2.3416433	17.814938	7.3672647	220.33333	78.20628	342.0	30.0	1000.0	210708.0	0.1800923076923077	1.4504765	0.51100165	2.7628582	-0.13932939	21.181078	14.654531	80.13191	-4.615631	-1.3038516e-08	-0.0011507035	-5.9604645e-08	0.002598174	0.13335434	-0.063809246	229.1271	-126.93009	0	0	1.0	1.4614727	0.0012038482	1170000	2911.6107761859894
39	13.7776	2.7770257	19.138678	5.2166295	198.45833	92.87715	412.0	63.0	1000.0	216724.0	0.18060333333333334	1.4446723	0.472685	2.7870855	-0.05115372	22.101738	13.725747	83.278656	-5.251014	1.1175871e-08	-0.001670423	-4.4703484e-08	-0.0045947265	0.11476972	-0.052149393	219.06831	-120.137985	0	0	1.0	1.4606564	0.0013899261	1200000	2982.161284685135
40	14.263829	3.329271	19.832502	6.6737947	194.79167	109.02751	467.0	22.0	1000.0	222275.0	0.18071138211382115	1.4542458	0.47362298	2.7075894	0.010813719	20.776459	12.97474	78.336655	-5.93823	1.6298145e-08	-0.001363926	-7.4505806e-08	-0.0024685988	0.13619022	-0.06628567	223.04253	-123.87099	0	0	1.0	1.4599099	0.001265544	1230000	3053.5497896671295
